11,4qCqAdHcNKeAHcK8tJ8wNJZa9cx.jpg,"12,28,878",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,102,6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,1977-05-25,Star Wars,4.1,19847,2024-04-13 00:00:00,en,121,Released,2024-04-13 00:00:00,"10764, 3289, 3608, 1386, 800"
12,eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg,"16,10751","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",103,eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,2003-05-30,Finding Nemo,3.91,18614,2024-04-13 00:00:00,en,100,Released,2024-04-13 00:00:00,"9818, 1037, 5259, 1265, 1235"
13,qdIMHd4sEfJSckfVJfKQvisL02a.jpg,"35,18,10749","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",118,arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,1994-06-23,Forrest Gump,4.24,26425,2024-04-13 00:00:00,en,142,Released,2024-04-13 00:00:00,"17766, 1709, 4621, 184, 2145"
15,ruF3Lmd4A8MHbnEBE6lxPMbsHGL.jpg,"9648,18","Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",36,sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,1941-04-17,Citizen Kane,4,5255,2024-04-13 00:00:00,en,119,Released,2024-04-13 00:00:00,"2584, 1045, 1109, 76, 441"
18,gEFe2joIQUopBmMPXOHPxuX2f4u.jpg,"12,14,28,53,878","In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",70,fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,1997-05-02,The Fifth Element,3.77,10329,2024-04-13 00:00:00,en,126,Released,2024-04-13 00:00:00,"3028, 3623, 2020, 1590, 68"
22,wW7Wt5bXzPy4VOEE4LTIUDyDgBo.jpg,"12,14,28","Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",149,z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,3.9,19876,2024-04-13 00:00:00,en,143,Released,2024-04-13 00:00:00,"10041, 3038, 2548, 3266, 983"
35,8ln5VUVk7gnNGIb2VNgw8nICDVt.jpg,"16,35,10751","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",72,gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg,2007-07-25,The Simpsons Movie,3.5,7686,2024-04-13 00:00:00,en,87,Released,2024-04-13 00:00:00,"2075, 2685, 1204, 452, 1270"
38,jz9Kep0xWjiA6QDHSsd43ASxNfj.jpg,"878,18,10749","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",71,5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,2004-03-19,Eternal Sunshine of the Spotless Mind,4.05,14294,2024-04-13 00:00:00,en,108,Released,2024-04-13 00:00:00,"8796, 1926, 1173, 288, 2111"
58,vv5a8u6e40kyH0Hp6HuamAgzRai.jpg,"12,14,28",Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,120,uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,2006-07-06,Pirates of the Caribbean: Dead Man's Chest,3.68,15339,2024-04-13 00:00:00,en,151,Released,2024-04-13 00:00:00,"3055, 7042, 3060, 1642, 540"
62,w5IDXtifKntw0ajv2co7jFlTQDM.jpg,"878,9648,12","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",61,ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,1968-04-02,2001: A Space Odyssey,4.04,11004,2024-04-13 00:00:00,en,149,Released,2024-04-13 00:00:00,"6132, 2357, 682, 489, 1344"
74,nH6hPhJq3EEv9CnBZgXU3IQnpJo.jpg,"12,53,878","Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",55,6Biy7R9LfumYshur3YKhpj56MpB.jpg,2005-06-28,War of the Worlds,3.25,8027,2024-04-13 00:00:00,en,117,Released,2024-04-13 00:00:00,"2095, 2786, 392, 538, 2216"
78,eIi3klFf7mp3oL5EEF4mLIDs26r.jpg,"878,18,53","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",63,63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,1982-06-25,Blade Runner,3.97,13251,2024-04-13 00:00:00,en,118,Released,2024-04-13 00:00:00,"7913, 1823, 868, 498, 2149"
81,ulVUa2MvnJAjAeRt7h23FFJVRKH.jpg,"12,16,14","After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",56,tcrkfB8SRPQCgwI88hQScua6nxh.jpg,1984-03-11,Nausicaä of the Valley of the Wind,3.97,3365,2024-04-13 00:00:00,en,117,Released,2024-04-13 00:00:00,"1540, 1038, 29, 662, 96"
85,c7Mjuip0jfHLY7x8ZSEriRj45cu.jpg,"12,28","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",83,ceG9VzoRAVGwivFU403Wc3AHRys.jpg,1981-06-12,Raiders of the Lost Ark,3.96,11950,2024-04-13 00:00:00,en,115,Released,2024-04-13 00:00:00,"5131, 3580, 1216, 1676, 347"
89,2Y7nbXrDtHwAfcTX7KBN0z40OAy.jpg,"12,28","In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",67,npUCnxl1fqgt3aQiMQq0iJdZMZp.jpg,1989-05-24,Indiana Jones and the Last Crusade,3.92,9707,2024-04-13 00:00:00,en,127,Released,2024-04-13 00:00:00,"5084, 1772, 170, 2352, 329"
98,4I14RDX6gZPpXkHmbcqvAKpn3Dw.jpg,"28,18,12","In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",88,ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,2000-05-04,Gladiator,4.11,17699,2024-04-13 00:00:00,en,155,Released,2024-04-13 00:00:00,"11019, 940, 3672, 803, 1265"
101,jynfI114q3kOAbIiVjVfFFmttU2.jpg,"80,18,28","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",79,yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,1994-09-14,Léon: The Professional,4.15,14218,2024-04-13 00:00:00,en,111,Released,2024-04-13 00:00:00,"8239, 1561, 3247, 653, 518"
103,6aoyUbvu0419XLKLIMoH0TkEicH.jpg,"80,18",A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,63,ekstpH614fwDX8DUln1a2Opz0N8.jpg,1976-02-09,Taxi Driver,4.08,11665,2024-04-13 00:00:00,en,114,Released,2024-04-13 00:00:00,"7182, 1965, 482, 341, 1695"
